Date,Text,Sentiment,,,,,,,,,
12-11-2020 03:31,"RT @yangwoning0209: #JUNGWON jungwonie bought new phone! it's samsung galaxy note 20💖 @ENHYPEN_members 
https://t.co/V3YanlAlvA",Neutral,,,,,,,,,
12-11-2020 03:31,"RT @rpfscrhyb: On 06.11.2020, SIRP/KRNT along with , Con-412/RPF/KRNT jointly apprehended one ToPB offender  and recovered  previously  sto…",Negative,,,,,,,,,
12-11-2020 03:30,"RT @SamsungMobile: Make their year, with Galaxy Buds Live.
Learn more: https://t.co/8d6C9mdPjZ https://t.co/AEngbO10DM",Neutral,,,,,,,,,
12-11-2020 03:29,"[WTS] Malaysia Only [DM]

BTS Galaxy Buds+BTS Photocards. 
Only use once to check compatibility with my device (sadly does not work well with my iPhone).

The cover already installed on the Buds case.

I am letting it go for *RM750* (samsung price: RM899)
*not including shipping. https://t.co/YsK2SL2uDU",Negative,,,,,,,,,
12-11-2020 03:28,"RT @SamsungMobile: Make their year, with Galaxy Buds Live.
Learn more: https://t.co/8d6C9mdPjZ https://t.co/AEngbO10DM",Neutral,,,,,,,,,
12-11-2020 03:26,"RT @yangwoning0209: #JUNGWON jungwonie bought new phone! it's samsung galaxy note 20💖 @ENHYPEN_members 
https://t.co/V3YanlAlvA", Neutral,,,,,,,,,
12-11-2020 03:26,"RT @SamsungMobile: Make their year, with Galaxy Buds Live.
Learn more: https://t.co/8d6C9mdPjZ https://t.co/AEngbO10DM",Spam,,,,,,,,,
12-11-2020 03:26,"RT @yangwoning0209: #JUNGWON jungwonie bought new phone! it's samsung galaxy note 20💖 @ENHYPEN_members 
https://t.co/V3YanlAlvA", Spam,,,,,,,,,
12-11-2020 03:25,"RT @SamsungMobile: Make their year, with Galaxy Buds Live.
Learn more: https://t.co/8d6C9mdPjZ https://t.co/AEngbO10DM",Neutal,,,,,,,,,
12-11-2020 03:25,"RT @baejinnuna: Previously Hyunsuk mention in his previous Vlive that using Samsung Galaxy is much better than using Iphone. Yesterday, bef…",Positive,,,,,,,,,
12-11-2020 03:25,"RT @SamsungMobile: Make their year, with Galaxy Buds Live.
Learn more: https://t.co/8d6C9mdPjZ https://t.co/AEngbO10DM",Neutral,,,,,,,,,
12-11-2020 03:25,"RT @yangwoning0209: #JUNGWON jungwonie bought new phone! it's samsung galaxy note 20💖 @ENHYPEN_members 
https://t.co/V3YanlAlvA",Spam,,,,,,,,,
12-11-2020 03:24,"RT @SamsungMobile: Make their year, with Galaxy Buds Live.
Learn more: https://t.co/8d6C9mdPjZ https://t.co/AEngbO10DM",Neutral,,,,,,,,,
12-11-2020 03:24,"RT @baejinnuna: Previously Hyunsuk mention in his previous Vlive that using Samsung Galaxy is much better than using Iphone. Yesterday, bef…",Spam,,,,,,,,,
12-11-2020 03:24,"RT @SamsungMobile: Make their year, with Galaxy Buds Live.
Learn more: https://t.co/8d6C9mdPjZ https://t.co/AEngbO10DM",Neutral,,,,,,,,,
12-11-2020 03:24,"RT @yangwoning0209: #JUNGWON jungwonie bought new phone! it's samsung galaxy note 20💖 @ENHYPEN_members 
https://t.co/V3YanlAlvA",Spam,,,,,,,,,
12-11-2020 03:24,"RT @SamsungMobile: Make their year, with Galaxy Buds Live.
Learn more: https://t.co/8d6C9mdPjZ https://t.co/AEngbO10DM",Spam,,,,,,,,,
12-11-2020 03:22,"RT @yangwoning0209: #JUNGWON jungwonie bought new phone! it's samsung galaxy note 20💖 @ENHYPEN_members 
https://t.co/V3YanlAlvA",Spam,,,,,,,,,
12-11-2020 03:22,"RT @SamsungMobile: Make their year, with Galaxy Buds Live.
Learn more: https://t.co/8d6C9mdPjZ https://t.co/AEngbO10DM",Spam,,,,,,,,,
12-11-2020 03:22,"RT @yangwoning0209: #JUNGWON jungwonie bought new phone! it's samsung galaxy note 20💖 @ENHYPEN_members 
https://t.co/V3YanlAlvA",Neutral,,,,,,,,,
12-11-2020 03:22,@AgentDustal @Google I'm with you. My #Pixel4XL is the worst phone I've ever owned. I migrated from iPhone with the #Pixel2XL and on yo the 4. I'm waiting for my Verizon #iPhone12ProMax. Completely through with #Pixel.,Negative,,,,,,,,,
12-11-2020 03:22,"RT @yangwoning0209: #JUNGWON jungwonie bought new phone! it's samsung galaxy note 20💖 @ENHYPEN_members 
https://t.co/V3YanlAlvA",Neutral,,,,,,,,,
12-11-2020 03:21,"RT @yangwoning0209: #JUNGWON jungwonie bought new phone! it's samsung galaxy note 20💖 @ENHYPEN_members 
https://t.co/V3YanlAlvA",Spam,,,,,,,,,
12-11-2020 03:18,"RT @yangwoning0209: #JUNGWON jungwonie bought new phone! it's samsung galaxy note 20💖 @ENHYPEN_members 
https://t.co/V3YanlAlvA",,,,,,,,,,
