Date,Text,UserName,ScreenName,Bio,FollowersCount,FollowingCount,Language,RetweetCount,Location,Id_str,Source,Link
2020-11-12 03:52:53,"RT @philip_george70: A Samsung Galaxy j7 phone, costs about 78,000 Naira and many unemployed Nigerians own phones like this, both iPhone 6,…",Moks,Santoscj_kings,"Messi 🐐, FC BARCELONA Fan⚽💔, Roger Federer 🎾 🐐

🇳🇬",7837,8527,en,65,The Unknown,1326734687126032385,Twitter for Android,https://twitter.com/Santoscj_kings/status/1326734687126032385
2020-11-12 03:52:51,"RT @SamsungMobile: Make their year, with Galaxy Buds Live.
Learn more: https://t.co/8d6C9mdPjZ https://t.co/AEngbO10DM",Juguitopaupau,Juguitopaupau1,holaaa!!! nueva cuenta 🙂 soy JinnieZu4 💜,8,95,en,2085,,1326734679156908032,Twitter for Android,https://twitter.com/Juguitopaupau1/status/1326734679156908032
2020-11-12 03:52:16,"@krunalpatelkp4 @MadhavSheth1 Jio4g is LTE+ network 100% but REALME smartphone support 4g 
Oppo smartphone support 4g
Vivo smartphone support 4g OnePlus mobile not support LTE+ network jio4G userLTE+ network support list Motorola smartphone support LTE+Samsung smartphone support LTE+ Apple iPhone support LTE+",nilesh katudia,nileshkatudia1,,18,97,en,0,"Mumbai, India",1326734531794104321,Twitter for Android,https://twitter.com/nileshkatudia1/status/1326734531794104321
2020-11-12 03:51:23,"@RM_Update Jio4g is LTE+ network 100% but REALME smartphone support 4g 
Oppo smartphone support 4g
Vivo smartphone support 4g OnePlus mobile not support LTE+ network jio4G userLTE+ network support list Motorola smartphone support LTE+Samsung smartphone support LTE+ Apple iPhone support LTE+ https://t.co/l0PrR5eZf4",nilesh katudia,nileshkatudia1,,18,97,en,0,"Mumbai, India",1326734307143004161,Twitter for Android,https://twitter.com/nileshkatudia1/status/1326734307143004161
2020-11-12 03:51:16,"RT @baejinnuna: Previously Hyunsuk mention in his previous Vlive that using Samsung Galaxy is much better than using Iphone. Yesterday, bef…",tina^,yongbaereal,he/she,44,148,en,48,WANNAONE/CIX/GOT7/STRAYKIDZ,1326734281192828928,Twitter for iPhone,https://twitter.com/yongbaereal/status/1326734281192828928
2020-11-12 03:51:09,"QC 3.0 Wall Charger, OKRAY 2 Pack 18W Fast Charging USB Wall Charger Power Adapter USB Plug Compatible 10W Wireless Charger, iPad Pro, Tablets, iPhone, Samsung Galaxy S10/S9/S8, LG, HTC (Black Black) https://t.co/ek02brt6Qj https://t.co/mwaq3NFPWf",HotDeals,qefdchyt,,103,0,en,0,,1326734248850550784,Twitter Web App,https://twitter.com/qefdchyt/status/1326734248850550784
2020-11-12 03:50:17,@_candiiM @OnePlus_USA @TMobile Bruh I been trying to be patient since the oct 13 the apple even then the delayed Relase for the iPhone 12 pro max then the preorders nov 6 like I have lost all patients bruh lol 😂,Sam,Sam93213328,,4,35,en,0,,1326734032311214082,Twitter for iPhone,https://twitter.com/Sam93213328/status/1326734032311214082
2020-11-12 03:48:44,"RT @taekinkook: [WTS] Malaysia Only [DM]

BTS Galaxy Buds+BTS Photocards. 
Only use once to check compatibility with my device (sadly does…",ᴮᴱJay ⁷,jayyayhoseok,Life Goes On ✨💛 🐨🐹🐱🐿🐣🐯🐰💜,251,296,en,9,she/her,1326733642098339842,Twitter for iPhone,https://twitter.com/jayyayhoseok/status/1326733642098339842
2020-11-12 03:47:08,"RT @taekinkook: [WTS] Malaysia Only [DM]

BTS Galaxy Buds+BTS Photocards. 
Only use once to check compatibility with my device (sadly does…",ain⁷ 🕊,cherryminv,₊ ✧ ⃕...˗ˏˋ #⃞𝙮𝙤𝙤𝙣𝙞𝙚 : please lean on me and have a rest sometimes ˖ ☽ ° . she/they 18,1138,691,en,9,enhypenbts,1326733238430134272,Twitter for iPhone,https://twitter.com/cherryminv/status/1326733238430134272
2020-11-12 03:45:28,"RT @SamsungMobile: Make their year, with Galaxy Buds Live.
Learn more: https://t.co/8d6C9mdPjZ https://t.co/AEngbO10DM",아별,N3UoxKgYdQQNojw,(헤더 = @JINtopia_1204 님),0,43,en,2085,,1326732819423395840,Twitter for Android,https://twitter.com/N3UoxKgYdQQNojw/status/1326732819423395840
2020-11-12 03:45:04,"RT @SamsungMobile: Make their year, with Galaxy Buds Live.
Learn more: https://t.co/8d6C9mdPjZ https://t.co/AEngbO10DM",ᴮᴱ정alien아미⁷ is stuDYING,7_aliens,"//fan account for @BTS_twt//
                        𝘏𝘰𝘮𝘰 𝘚𝘢𝘱𝘪𝘦𝘯𝘴 with a 💜
                                    방탄소년단 is the BEST DECISION EVER",138,439,en,2085,🌌Mikrokosmos • 130613 to ∞,1326732720454524928,Twitter Web App,https://twitter.com/7_aliens/status/1326732720454524928
2020-11-12 03:44:53,"RT @SamsungMobile: Make their year, with Galaxy Buds Live.
Learn more: https://t.co/8d6C9mdPjZ https://t.co/AEngbO10DM",𝕍𝕚𝕣𝕥𝕦𝕒𝕝 𝔽𝕣𝕒𝕟𝕜𝕖𝕟𝕤𝕥𝕖𝕚𝕟 👽,VirtualFrankie,In the beginning there was music & it was good! #PinkFloyd #BlueHelix #LedZeppelin #Samsung #BobMarley75 Advocate for better healthcare.🦋,5151,4877,en,2085,"Los Angeles, CA",1326732673386127366,Twitter for Android,https://twitter.com/VirtualFrankie/status/1326732673386127366
2020-11-12 03:44:36,"RT @yangwoning0209: #JUNGWON jungwonie bought new phone! it's samsung galaxy note 20💖 @ENHYPEN_members 
https://t.co/V3YanlAlvA",Camiland🥚🧬፨,Camland_Sung2,Enhypen ፨ // #NCT2020 - #JAEMIN #재민 // Multi🧃,2162,2490,en,68,,1326732603261677568,Twitter for iPhone,https://twitter.com/Camland_Sung2/status/1326732603261677568
2020-11-12 03:43:46,"RT @taekinkook: [WTS] Malaysia Only [DM]

BTS Galaxy Buds+BTS Photocards. 
Only use once to check compatibility with my device (sadly does…",ᴮᴱMaresa💜's⁷ 태형 ◡̈⟭⟬ - BLUE & GREY IS A HIT,itsmaresaa,"The Taehyung Effect™ 
I just wanna be happier, baby don't let me go...",1143,845,en,9,,1326732391822536707,Twitter for Android,https://twitter.com/itsmaresaa/status/1326732391822536707
2020-11-12 03:43:36,"RT @taekinkook: [WTS] Malaysia Only [DM]

BTS Galaxy Buds+BTS Photocards. 
Only use once to check compatibility with my device (sadly does…",m • y • a,Helenautio,resting in | pfp by @djarn_ on picrew,4,193,en,9,hell,1326732350953148416,Twitter for iPhone,https://twitter.com/Helenautio/status/1326732350953148416
